code,ergp_line_item,mda_code,agency,mother_ministry,amount,alignment,confidence,reason,mandate_deviation_score
ERGP30174403,RESEARCH AND DEVELOPMENT OF MODERN AGRICULTURAL TECHNOLOGIES AND INNOVATION,215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,25963278.0,YES,HIGH,"Research and development of modern agricultural technologies directly aligns with LCRI's core mandate to conduct agricultural research for the Lake Chad Basin and develop climate-resilient farming systems, irrigation technologies, and adapted crop varieties.",0
ERGP30203624,INVESTIGATION INTO IMPROVEMENT OF LIVESTOCK AND AGROFORESTRY SYSTEM IN NORTH EAST ZONE,215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,20317496.0,YES,HIGH,This budget item directly aligns with the agency's statutory functions to conduct livestock production research for pastoral communities and develop climate-resilient farming systems for the Sahel environment in the northeastern region.,0
ERGP30203633,"PROCUREMENT OF ASSORTED FERTILIZERS, AGRO- CHEMICALS, FARM INPUTS AND ACCESSORIES",215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,30615569.0,YES,HIGH,"Procurement of fertilizers, agro-chemicals, and farm inputs directly supports the institute's core mandate to conduct agricultural research, develop improved crop varieties, and advance sustainable agriculture in the Lake Chad Basin.",0
ERGP30203728,PROVISION OF POWER TO THE LABORATORY COMPLEX AND LIBRARY IN THE HEADQUARTERS,215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,23065583.0,YES,HIGH,"Providing power to laboratory complex and library is essential infrastructure directly supporting the institute's core mandate to conduct agricultural research, as laboratories require electricity for research equipment and activities while libraries support research documentation and knowledge management.",0
ERGP30203866,"BANDWIDTH SUBSCRIPTION, EXPANSION AND E-LIBRARY DEVELOPMENT
",215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,8244639.0,PARTIAL,MEDIUM,"While bandwidth and e-library services can support agricultural research activities through access to scientific databases and communication with collaborating institutions, this IT infrastructure item is not directly related to the agency's core mandate of conducting agricultural research specific to the Lake Chad Basin.",50
ERGP30203879,"PROCUREMENT AND REPAIRS OF LABORATORY EQUIPMENT, CAPACITY BUILDING OF LABORATORY STAFF",215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,46342436.0,YES,HIGH,"Laboratory equipment and staff capacity building are essential for conducting agricultural, fisheries, and natural resources research which directly supports the institute's core mandate of research for Lake Chad Basin agriculture.",0
ERGP30203893,"CONSTRUCTION OF GREEN AND SCREEN HOUSES, TISSUE CULTURE LABORATORY AND PROVISION OF REQUISITE EQUIPMENT",215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,26251193.0,YES,HIGH,"Construction of green houses, screen houses, tissue culture laboratory and equipment directly supports the institute's core mandate to conduct agricultural research, develop improved crop varieties adapted to the Lake Chad Basin, and advance food security through scientific research infrastructure.",0
ERGP30205831,"PROCUREMENT OF LAPTOPS, DESKTOP COMPUTERS AND ACCESSORIES
",215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,13181697.0,YES,HIGH,"Computer equipment is essential for conducting agricultural research, data analysis, managing research databases, and coordinating with regional partners as required by the institute's research mandate.",0
ERGP30206907,EXTENSION OF THE IMPROVED TECHNOLOGIES TO THE CLIENTHAN FOR IMPACTS AND DEVELOPMENT,215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,7156604.0,YES,HIGH,Extension of improved technologies to clients directly aligns with the institute's statutory functions to train farmers on adapted agricultural practices and provide technical advice on Lake Chad Basin agricultural development.,0
ERGP30228784,"TECHNICAL CONSULTANCY SERVICES
",215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,14383376.0,YES,HIGH,"Technical consultancy services directly support the institute's statutory functions to provide technical advice on Lake Chad Basin agricultural development, collaborate with regional organizations, and advance research activities across crops, fisheries, and water management.",0
ERGP30241561,"TRAINING AND EMPOWERMENT OF WOMENON PACKAGING ANF PRESERVATION OF FARM PRODUCT AND AT BULA YOBE, GONIRI, ABBARI, DUMBA, BASH, AND KANGANERI",215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,70000000.0,PARTIAL,MEDIUM,"While training farmers aligns with the institute's mandate to provide technical advice and train farmers on adapted agricultural practices, the focus on women's empowerment and packaging/preservation is somewhat peripheral to LCRI's core research functions on crop varieties, fisheries, and Lake Chad Basin agriculture.",50
ERGP30241563,PROVISION OF WATER PUMPING MACHINES FOR IRRIGATION IN BORNO SOUTH SENATORIAL DISTRICT.,215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,70000000.0,YES,HIGH,Providing water pumping machines for irrigation directly supports the institute's mandate to develop irrigation farming systems utilizing Lake Chad waters and advance agricultural development in the Lake Chad Basin region.,0
ERGP5110977,DEVELOPMENT OF HIGH YIELDING HEAT TOLERANT AND GOOD QUALITY VARIETIES OF WHEAT AND BARLEY AND DEVELOPMENT OF EARLY MATURING AND HIGH YIELDING,215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,36924743.0,YES,HIGH,The budget item directly aligns with the agency's statutory functions to develop improved wheat varieties and drought-tolerant crops adapted for the semi-arid Lake Chad Basin region.,0
ERGP5111337,COMPLETION OF INSTALLATION OF 3- COMPARTMENT COMPACT MILLING MACHINE FOR THE PRODUCTION OF NIGERIAN WHEAT FLOUR.,215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,9511365.0,YES,HIGH,Installing milling equipment for wheat flour production directly supports the institute's mandate to research wheat cultivation and develop value-added processing for crops adapted to the Lake Chad Basin semi-arid region.,0
ERGP5111344,"DEVELOPMENT AND MAINTENANCE OF RESEARCH OUTSTATIONS (KADAWA, KANO STATE) DADINKOWA AND TALASE IN GOMBE, KEBBI STATE AND ABUJA LIAISON",215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,25090324.0,PARTIAL,MEDIUM,"While the agency can operate research outstations, the listed locations (Kadawa/Kano, Gombe, Kebbi, Abuja) are outside the Lake Chad Basin agroecological zone that defines LCRI's specific geographic mandate.",50
ERGP5111350,PROCUREMENT OF REAGENTS AND PESTICIDES FOR VALUE ADDITION AND QUALITY ENHANCEMENT OF FOOD AND FEED PRODUCTS.,215056001,LAKE CHAD RESEARCH INSTITUTE MAIDUGURI,,17878267.0,PARTIAL,MEDIUM,"While reagents for value addition and quality enhancement could support the institute's research on crops and feed development, pesticides procurement aligns with agricultural research but value addition activities are not explicitly within LCRI's core research mandate which focuses on crop development, fisheries, and farming systems rather than food processing.",50
ERGP17224468,PURCHASE OF POWER GENERATING SET FOR HEAD OFFICE,220006001,INVESTMENT AND SECURITIES TRIBUNAL,,35000000.0,YES,HIGH,"A power generating set is essential operational infrastructure needed to ensure uninterrupted tribunal hearings, case proceedings, and judicial operations at the head office.",0
ERGP17224568,PROVISION OF ICT INFRASTRUCTURE AT ZONAL OFFICE,220006001,INVESTMENT AND SECURITIES TRIBUNAL,,38616516.0,YES,HIGH,"Providing ICT infrastructure at zonal offices directly supports the tribunal's mandate to conduct hearings, examine evidence, and provide fast-track dispute resolution across its multiple divisions in Lagos and Port Harcourt.",0
ERGP27202377,REMODELLING OF A FLOOR OF FMF BUILDING LAGOS FOR TRIBUNAL OFFICIAL USE,220006001,INVESTMENT AND SECURITIES TRIBUNAL,,66500000.0,YES,HIGH,Remodelling office space in Lagos directly supports the tribunal's statutory mandate as IST operates a Lagos division and requires proper facilities to conduct hearings and adjudicate capital market disputes.,0
ERGP30236247,CAPACITY BUILDING AWARENESS ON THE ETHICS AND OPERATIONS OF CAPITAL MARKET FOR WOMEN AND YOUTHS IN IMO STATE,220006001,INVESTMENT AND SECURITIES TRIBUNAL,,21005826.0,PARTIAL,MEDIUM,"While the IST's mandate focuses on adjudicating capital market disputes rather than education, capacity building on capital market operations could indirectly support investor protection by creating more informed market participants who are less likely to fall victim to fraud or disputes.",50
ERGP30224103,CAPACITY BUILDING FOR AUTO GELLE AND COSMETOLOGY FOR 80 YOUTHS AND WOMEN IN PLATEAU,222005001,INDUSTRIAL TRAINING FUND,,35560000.0,YES,HIGH,"This budget item directly aligns with ITF's statutory functions to provide vocational skills training, support women's skills development, and conduct entrepreneurship training for youth as specified in functions (a), (i), and (q).",0
ERGP30224112,"EMPOWERMENT AND TRAINING OF 100 YOUTHS ON ICT IN NORTHWEST STATE (KANO, KATSINA,SOKOTO AND JIGAWA)",222005001,INDUSTRIAL TRAINING FUND,,49434000.0,YES,HIGH,This budget item directly aligns with ITF's statutory functions to conduct ICT and digital skills training programs and provide skills training for unemployed youth across Nigeria.,0
ERGP30224116,"CAPACITY BUILDING FOR TAILORING AND FASHION DESIGN FOR 100 YOUTHS AND WOMEN IN SOUTHWEST STATES ( OGUN,OYO,OSUN AND EKITI)",222005001,INDUSTRIAL TRAINING FUND,,49279467.0,YES,HIGH,"This budget item directly aligns with ITF's statutory functions to provide vocational skills training, support women's skills development, and conduct skills acquisition programs for unemployed youth across different states.",0
ERGP30224120,"CATERING AND EVENT MANAGEMENT TRAINING FOR 80 YOUTHS IN DELTA STATE
",222005001,INDUSTRIAL TRAINING FUND,,45500000.0,YES,HIGH,"Catering and event management training directly aligns with ITF's mandate to provide vocational skills training and entrepreneurship development for unemployed youth, as these are legitimate commercial and service sector skills that support workforce development and unemployment reduction.",0
ERGP30224126,"SKILLS ACQUISITION FOR 85 SELECTED YOUTHS ON ICT IN BAGAMA B, WAMBAI AND HASHIMI A, SULEJA LGA, NIGER STATE",222005001,INDUSTRIAL TRAINING FUND,,35700000.0,YES,HIGH,"This budget item directly aligns with ITF's statutory functions to conduct ICT and digital skills training programs for youth skills acquisition, which is a core component of their mandate to promote vocational skills development and reduce unemployment.",0
ERGP30224134,EMPOWERMENT AND TRAINING OF 100 YOUTHS AND WOMEN ON BEAD MAKING AND SOAP MAKING.,222005001,INDUSTRIAL TRAINING FUND,,35000000.0,YES,HIGH,"This budget item directly aligns with ITF's statutory functions to provide skills training, entrepreneurship training for unemployed youth, and support women's skills development as specified in functions (a), (i), and (q) of their mandate.",0
ERGP30224140,"CAPACITY BUILDING FOR TILLING FOR 80 YOUTHS AND WOMEN IN SOUTHSOUTH ( PORTHARCOURT,EBONYI,BAYELSA AND AKWA-IBOM)",222005001,INDUSTRIAL TRAINING FUND,,37940000.0,YES,HIGH,"This budget item directly aligns with ITF's statutory functions to promote skills acquisition, provide vocational training for youth and women, and support agricultural/technical skills development across different states.",0
ERGP30224143,"SKILLS DEVELOPMENT FOR 100 YOUTHS ON PLASTER OF PARIS(POP) IN SOUTHEAST (ENUGU,ANAMBRA,IMO AND ABIA)",222005001,INDUSTRIAL TRAINING FUND,,51100000.0,YES,HIGH,"This budget item directly aligns with ITF's core mandate to provide vocational training in building construction trades, as plaster of paris (POP) is a essential construction skill covered under their statutory functions.",0
ERGP30224146,"SKILL DEVELOPMENT AND EMPOWERMENT OF 85 YOUTHS ON SOLAR INVERTER INSTALLATIONS IN NORTHCENTRAL (NASARAWA,BENUE,KWARA AND KOGI)",222005001,INDUSTRIAL TRAINING FUND,,40040000.0,YES,HIGH,"This budget item directly aligns with ITF's core mandate to provide vocational training and skills acquisition, specifically covering solar inverter installation which falls under electrical/technical trades training for youth empowerment.",0
ERGP30224157,"SKILL DEVELOPMENT FOR 80 YOUTHS ON GRAPHICS ,PAINTING,PHOTOGRAPY AND PRODUCTION IN LAGOS STATE",222005001,INDUSTRIAL TRAINING FUND,,39060000.0,YES,HIGH,"This budget item directly aligns with ITF's core mandate to promote skills acquisition and provide vocational training for youth, specifically covering graphics, painting, photography and production skills which fall under the agency's technical and creative skills development programs.",0
ERGP30224160,"SKILLS ACQUISITION FOR 40 SELECTED YOUTHS ON POULTRY FARMING IN GAWU BABANGIDA, AND WUSE LGA, NIGER STATE.",222005001,INDUSTRIAL TRAINING FUND,,22400000.0,YES,HIGH,"This budget item directly aligns with ITF's core mandate to promote skills acquisition and provide vocational training for youth, as poultry farming constitutes a viable technical skill that supports entrepreneurship and unemployment reduction.",0
ERGP30236212,"TRAINING AND EMPORMENT OF SELECTED YOUTHS IN GSM REPAIRS AND HAIR DRESSING IN DEKINA LGA, KOGI STATE",222005001,INDUSTRIAL TRAINING FUND,,21000000.0,YES,HIGH,"This budget item directly aligns with ITF's core mandate to provide vocational training and skills acquisition programs for youth, as GSM repairs and hair dressing are technical/vocational skills that support entrepreneurship and employment creation.",0
ERGP30236215,TRAINING AND EMPOWERMENT IN TAILORING FOR SELECTED WOMEN AND YOUTHS IN AHOADA,222005001,INDUSTRIAL TRAINING FUND,,8400000.0,YES,HIGH,"Training and empowerment in tailoring for selected women and youths directly aligns with ITF's statutory functions to promote acquisition of vocational skills, provide skills training programs, and support women's skills training as specified in functions (a), (g), and (q).",0
ERGP30236217,"YOUTH EMPOWERMENT & LEADERSHIP TRAINING IN SURULERE 1, FEDERAL CONSTITUENCY, LAGOS STATE.",222005001,INDUSTRIAL TRAINING FUND,,30555000.0,YES,HIGH,Youth empowerment and leadership training directly aligns with ITF's statutory mandate to provide entrepreneurship training for unemployed youth and support skills development programs that reduce unemployment.,0
ERGP10225606,"PURCHASE AND INSTALLATION OF SOLAR PANELS IN NORTH CENTRAL, JOS AND SOUTH-SOUTH, ASABA ZONAL OFFICES",227002001,INDUSTRIAL ARBITRATION PANEL,,42000000.0,PARTIAL,MEDIUM,"While solar panels for zonal offices could support the agency's operations by ensuring reliable power for conducting arbitration hearings and administrative functions, this infrastructure investment has only an indirect relationship to the core mandate of adjudicating industrial disputes.",50
ERGP10238743,CONSTRUCTION AND INSTALLATION OF SOLAR STREET LIGHTS IN SOME SELECTED COMMUNITIES OF YOBE NORTH,227002001,INDUSTRIAL ARBITRATION PANEL,,175000000.0,NO,HIGH,Construction and installation of solar street lights in communities is infrastructure development work that falls completely outside the Industrial Arbitration Panel's specialized mandate of adjudicating industrial disputes and labor conflicts.,100
ERGP10238746,INSTALLATION OF SOLAR STREET LIGHT IN AWWAL ALIYU CLOSE UNGUWAN DOSA KADUNA,227002001,INDUSTRIAL ARBITRATION PANEL,,35000000.0,NO,HIGH,Installing solar street lights in a residential area in Kaduna has no connection to the Industrial Arbitration Panel's core mandate of adjudicating industrial disputes and resolving employer-worker conflicts through arbitration.,100
ERGP10238751,"PROVISION OF SOLAR POWERED BOREHOLES AT GYAWANA DEVELOPMENT AREA, LAMURDE LGA, ADAMAWA",227002001,INDUSTRIAL ARBITRATION PANEL,,35000000.0,NO,HIGH,Providing solar powered boreholes is a water infrastructure project that has no connection to the Industrial Arbitration Panel's mandate of adjudicating industrial disputes and resolving employer-worker conflicts.,100
ERGP10238755,"PROVISION OF SOLAR POWERED STREET LIGHTS AT GYAWANA, LAMURDE LGA, ADAMAWA STATE",227002001,INDUSTRIAL ARBITRATION PANEL,,35000000.0,NO,HIGH,Installing solar street lights in a specific local government area has no connection to the Industrial Arbitration Panel's core mandate of adjudicating industrial disputes and resolving employer-worker conflicts.,100
ERGP10238757,"PROVISION OF ALL-IN-ONE SOLAR STREETLIGHTS FOR GAA OMOBA, GAA KUNDI, GAA MAJO AND ILEMONA TOWNSHIPS FOR SECURITY AWARENESS AND COMMUNITY",227002001,INDUSTRIAL ARBITRATION PANEL,,270813186.0,NO,HIGH,"Providing solar streetlights for townships relates to community infrastructure and security, which falls completely outside the Industrial Arbitration Panel's mandate of adjudicating industrial disputes between employers and workers.",100
ERGP10238765,PROVISION OF ALL-IN-ONE SOLAR STREETLIGHTS FOR THE SECURITY ENHANCEMENT ACROSS OYUN AND OFFA LGA,227002001,INDUSTRIAL ARBITRATION PANEL,,193050658.0,NO,HIGH,Providing solar streetlights for security enhancement in local government areas falls outside the Industrial Arbitration Panel's mandate of adjudicating industrial disputes and resolving employer-worker conflicts through arbitration.,100
ERGP10238772,"PROVISION OF SOLAR STREET LIGHTS AT ,BEHIND GENERAL HOSPITAL(ALI KWARA) , GANDUN WAMBAI, AZARE",227002001,INDUSTRIAL ARBITRATION PANEL,,10500000.0,NO,HIGH,Providing solar street lights in specific locations has no connection to the Industrial Arbitration Panel's core mandate of adjudicating industrial disputes and resolving employer-worker conflicts through arbitration.,100
ERGP10238785,PURCHASE AND INSTALLATIONS OF ALL IN ONE SOALR STREET LIGHT IN ANKPA LOCAL GOVERNMENT AREA KOGI STATE,227002001,INDUSTRIAL ARBITRATION PANEL,,70000000.0,NO,HIGH,Installing solar street lights in a local government area has no connection to the Industrial Arbitration Panel's mandate of adjudicating industrial disputes and resolving employer-worker conflicts.,100
ERGP10238791,"PROVISION OF MINI GRID IN EKITI/IREPODUN/ISIN/OKE-ERO FEDERAL CONSTIUENCY, KWARA",227002001,INDUSTRIAL ARBITRATION PANEL,,21000000.0,NO,HIGH,Providing mini grid electricity infrastructure in Kwara state constituencies is completely outside the Industrial Arbitration Panel's mandate to adjudicate industrial disputes and resolve employer-worker conflicts.,100
ERGP10238805,"INSTALLATION OF SOLAR STREET LIGHTS IN BIRNIN KUDU/BUJI FEDERAL CONSTITUENCY, JIGAWA STATE",227002001,INDUSTRIAL ARBITRATION PANEL,,140000000.0,NO,HIGH,Installing solar street lights in a specific constituency is infrastructure development that has no connection to the Industrial Arbitration Panel's mandate of adjudicating industrial disputes and resolving employer-worker conflicts.,100
ERGP10238822,"SUPPLY AND INSTALLATION OF SOLAR POWERED INVERTS IN SOME POLICE STATIONS IN ADO/IREPODUN-IFELODUN, FED CONST, EKITI STATE",227002001,INDUSTRIAL ARBITRATION PANEL,,35000000.0,NO,HIGH,Installing solar powered inverters in police stations is completely outside the Industrial Arbitration Panel's mandate of adjudicating industrial disputes between employers and workers.,100
ERGP10238842,"SUPPLY OF SOLAR STREETLIGHTS IN ENUGU EAST SENATORIAL DISTRICT.
",227002001,INDUSTRIAL ARBITRATION PANEL,,28000000.0,NO,HIGH,"Solar streetlight installation in Enugu East falls completely outside IAP's specialized mandate of adjudicating industrial disputes and labor conflicts, as this is infrastructure development unrelated to employer-worker arbitration services.",100
ERGP10238925,"SUPPLY OF SOLAR STREET LIGHTS IN ENUGU EAST SENATORIAL DISTRICT.
",227002001,INDUSTRIAL ARBITRATION PANEL,,35000000.0,NO,HIGH,Supply of solar street lights is public infrastructure provision that has no connection to the Industrial Arbitration Panel's core mandate of adjudicating industrial disputes and resolving employer-worker conflicts through arbitration.,100
ERGP10238928,"INSTALLATION OF SOLAR POWERED STREET LIGHT IN OGORI MAGONGO, KOGI STATE
",227002001,INDUSTRIAL ARBITRATION PANEL,,21000000.0,NO,HIGH,Installing solar powered street lights in a specific locality has no connection to the Industrial Arbitration Panel's core mandate of adjudicating industrial disputes and resolving employer-worker conflicts through arbitration.,100
ERGP10238938,"SUPPLY AND INSTALLATION OF ALL IN ONE SOLAR STREET LIGHT IN OSUN STATE
",227002001,INDUSTRIAL ARBITRATION PANEL,,105000000.0,NO,HIGH,Installing solar street lights in Osun State has no connection to the Industrial Arbitration Panel's mandate of adjudicating industrial disputes and resolving employer-worker conflicts through arbitration.,100
ERGP10238941,"PROVISION AND INSTALLATION OF SOLAR STREET LIGHT IN ILE IFE OSUN STATE
",227002001,INDUSTRIAL ARBITRATION PANEL,,105000000.0,NO,HIGH,Installing solar street lights in Ile Ife has no connection to the Industrial Arbitration Panel's core mandate of adjudicating industrial disputes and resolving employer-worker conflicts through arbitration.,100
ERGP10238943,SUPPLY AND INSTALLATION OF SOLAR STREET LIGHT IN ILE IFE NORTH AND SOUTH OSUN STATE,227002001,INDUSTRIAL ARBITRATION PANEL,,105000000.0,NO,HIGH,Installing solar street lights in Osun State has no connection to the Industrial Arbitration Panel's mandate of adjudicating industrial disputes and resolving employer-worker conflicts through arbitration.,100
ERGP10238948,"SUPPLY & INSTALLATION OF SOLAR STREETLIGHT WITHIN IFE EAST, OSUN STATE
",227002001,INDUSTRIAL ARBITRATION PANEL,,2800000000.0,NO,HIGH,Installing solar streetlights in Osun State is infrastructure development work that falls completely outside the Industrial Arbitration Panel's specialized mandate of adjudicating industrial disputes and labor conflicts.,100
ERGP12226263,"PURCHASE OF 1NO. SUV FOR THE OFFICE OF THE CHIEF REGISTRAR
",227002001,INDUSTRIAL ARBITRATION PANEL,,66500000.0,PARTIAL,MEDIUM,"While the SUV purchase supports administrative operations necessary for the Chief Registrar to oversee tribunal functions, it is an indirect support expense rather than a direct fulfillment of the agency's core arbitration and dispute resolution mandate.",50
ERGP12238749,"CONSTRUCTION OF RURAL ROAD IN YOBE NORTH SENATORIAL DISTRICT
",227002001,INDUSTRIAL ARBITRATION PANEL,,140000000.0,NO,HIGH,Construction of rural roads is infrastructure development work that falls completely outside the Industrial Arbitration Panel's specialized mandate of adjudicating industrial disputes and labor conflicts.,100
ERGP12238821,"CONSTRUCTION OF ROAD AT AYOOLA OGUNFUNWA STREET, GRA, (AREMO AA) SOUTH WEST",227002001,INDUSTRIAL ARBITRATION PANEL,,35000000.0,NO,HIGH,"Road construction is completely outside the Industrial Arbitration Panel's mandate, which is exclusively focused on adjudicating industrial disputes and labor relations matters.",100
ERGP12238946,RECONSTRUCTION AND REHABILITATION OF 1.4KM WITH DRAINAGE SYSTEM OF ABEKOKO RIGHT ROAD TO AGOSI HEALTH CENTER WITH 50 SOLAR LIGHTS IN IFO,227002001,INDUSTRIAL ARBITRATION PANEL,,105000000.0,NO,HIGH,"Road reconstruction, drainage systems, and solar lighting infrastructure projects fall completely outside the Industrial Arbitration Panel's mandate to adjudicate labor disputes and resolve employer-worker conflicts through arbitration.",100
ERGP16189637,SUCCESSION PLANNING/SURVEY FOR PERSONNEL DEVELOPMENT IN IAP: ACCESSING AND VERIFICATION OF PERSONNEL IN ZONAL OFFICES AND HEADQUARTERS.,227002001,INDUSTRIAL ARBITRATION PANEL,,14350000.0,YES,HIGH,Personnel development and verification of staff in zonal offices and headquarters is essential for maintaining qualified arbitrators and administrative staff needed to effectively adjudicate industrial disputes and fulfill the agency's core mandate.,0
ERGP17174794,ESTABLISHMENT OF E-ARBITRATION LIBRARY AND PUBLICATION OF IAP ANNUAL LAW REPORTS.,227002001,INDUSTRIAL ARBITRATION PANEL,,18049761.0,YES,HIGH,Establishing an e-arbitration library and publishing annual law reports directly supports the agency's core function of adjudicating industrial disputes by providing essential legal resources and documentation of arbitration precedents.,0
ERGP17203772,COLLABORATION WITH INTERNATIONAL LABOUR ORGANIZATION (ILO) ON EFFECTIVE ARBITRATION IN NIGERIA,227002001,INDUSTRIAL ARBITRATION PANEL,,24639080.0,YES,HIGH,Collaborating with ILO on effective arbitration directly supports the agency's core mandate to adjudicate industrial disputes through arbitration and aligns with their statutory function to advance industrial harmony and resolve employer-worker conflicts.,0
ERGP22225659,"MANAGING INDUSTRIAL RELATIONS WITH INTERNAL LABOUR/UNION STAKEHOLDERS
",227002001,INDUSTRIAL ARBITRATION PANEL,,10500000.0,YES,HIGH,"Managing industrial relations with internal labour/union stakeholders directly supports the IAP's core mandate to promote industrial harmony, resolve employer-worker conflicts, and maintain peaceful labor relations as specified in their statutory functions.",0
ERGP23238779,"SUPPLY OF FERTILIZERS TO FARMERS IN KOGI STATE
",227002001,INDUSTRIAL ARBITRATION PANEL,,70000000.0,NO,HIGH,"The Industrial Arbitration Panel's mandate is exclusively focused on adjudicating industrial disputes and labor relations, with no authority or responsibility for agricultural activities like fertilizer supply to farmers.",100
ERGP23238782,"SUPPLY OF FURNITURE TO SELECTED SECONDARY SCHOOLS ACROSS THE 34 WARDS OF ANKPA FEDERAL CONSTITUENCY, KOGI STATE",227002001,INDUSTRIAL ARBITRATION PANEL,,70000000.0,NO,HIGH,Supplying furniture to secondary schools is completely outside the Industrial Arbitration Panel's mandate of adjudicating industrial disputes and resolving employer-worker conflicts.,100
ERGP23238794,CONSTRUCTION AND RENOVATION OFSOME SELECTED PRIMARY AND SECONDARY SCHOOLS ACROSS KWARA,227002001,INDUSTRIAL ARBITRATION PANEL,,350000000.0,NO,HIGH,Construction and renovation of primary and secondary schools is an education sector function that falls outside the Industrial Arbitration Panel's specialized mandate of adjudicating industrial disputes between employers and workers.,100
ERGP23238808,"REHABILITATION OF BLOCK OF CLASSROOMS AT OJUWOYE NURSERY AND PRIMARY SCHOOL IN MUSHIN I FEDERAL CONSTITUENCY, LAGOS STATE",227002001,INDUSTRIAL ARBITRATION PANEL,,70000000.0,NO,HIGH,Rehabilitating classrooms at a primary school has no connection to the Industrial Arbitration Panel's mandate of adjudicating industrial disputes and resolving employer-worker conflicts through arbitration.,100
ERGP23238827,"SCHOLARSHIP GRANT TO STUDENTS OF TERTIARY INSTITUTIONS AND SECONDARY SCHOOLS OF APA/AGATU FEDERAL CONSTITUENCY, BENUE STATE.",227002001,INDUSTRIAL ARBITRATION PANEL,,105000000.0,NO,HIGH,Educational scholarships for students in a specific federal constituency fall completely outside the Industrial Arbitration Panel's mandate to adjudicate industrial disputes and resolve employer-worker conflicts.,100
ERGP25238759,CONSTRUCTION OF MODERN SCIENCE LABORATORIES & EQUIPPED WITH LABORATORY EQUIPMENTS AT OYUN LGEA SECONDARY SCHOOL KWARA STATE,227002001,INDUSTRIAL ARBITRATION PANEL,,208374895.0,NO,HIGH,Construction of science laboratories at a secondary school is an educational infrastructure project that has no connection to the Industrial Arbitration Panel's core mandate of adjudicating industrial disputes and resolving employer-worker conflicts.,100
ERGP25238797,"SUPPLY AND INSTALLATION OF HEALTH EQUIPMENT IN STRATEGIC LOCATION OF INDUSTRIAL COMMUNITIES AND ORGANIZATIONS IN ILORIN, KWARA STATE",227002001,INDUSTRIAL ARBITRATION PANEL,,280000000.0,NO,HIGH,"The Industrial Arbitration Panel's mandate is solely focused on adjudicating industrial disputes and labor conflicts, not providing healthcare equipment or medical services to communities.",100
ERGP27225588,"RENOVATION/FURNISHING OF NORTH CENTRAL ZONAL OFFICE, JOS, PLATEAU STATE
",227002001,INDUSTRIAL ARBITRATION PANEL,,35945000.0,YES,HIGH,"Renovating and furnishing a zonal office in Jos directly supports the agency's mandate by providing proper facilities needed to conduct arbitration hearings, examine evidence, and adjudicate industrial disputes in the North Central region.",0
ERGP27225617,"RENOVATION/FURNISHING OF SOUTH-SOUTH ZONAL OFFICE, ASABA DELTA STATE
",227002001,INDUSTRIAL ARBITRATION PANEL,,17885000.0,YES,HIGH,Renovating and furnishing a South-South zonal office in Asaba supports the agency's mandate to adjudicate industrial disputes nationwide by providing proper regional infrastructure for hearings and operations.,0
ERGP27226287,"COMPLETION OF CONSTRUCTION OF SOUTH-EAST ZONAL OFFICE IN UMUAHIA, ABIA STATE",227002001,INDUSTRIAL ARBITRATION PANEL,,35350000.0,YES,HIGH,Constructing a South-East zonal office directly supports the IAP's mandate to adjudicate industrial disputes nationwide by establishing regional presence to serve employers and workers in the South-East geopolitical zone.,0
ERGP27238816,"COMPLETION OF CIVIC CENTRE IN IKOT AKPA EDET NDYIA AND CONSTRUCTION OF CULVERT IN EDEM URUA, IWERE IKONO/INI FEDERAL CONSTITUENCY, AKWA IBOM",227002001,INDUSTRIAL ARBITRATION PANEL,,42000000.0,NO,HIGH,Construction of civic centres and culverts in Akwa Ibom State has no connection to the Industrial Arbitration Panel's specialized mandate of adjudicating industrial disputes and resolving employer-worker conflicts through arbitration.,100
ERGP27238820,"MINI STADIUM KAKWAGOM, BOKI, IKOM/BOKI FED CONST, CROSS RIVER STATE
",227002001,INDUSTRIAL ARBITRATION PANEL,,105000000.0,NO,HIGH,Construction of a mini stadium in Cross River State has no connection to the Industrial Arbitration Panel's mandate of adjudicating industrial disputes and resolving employer-worker conflicts through arbitration.,100
